image,tense,energetic,valence,approach,room_type
bedroom__140.png,2.7083333333333335,2.25,3.5,3.4583333333333335,bedroom
bedroom__141.png,2.9523809523809526,3.9523809523809526,4.791666666666667,5.0,bedroom
bedroom__142.png,2.9130434782608696,3.260869565217391,3.3333333333333335,3.0416666666666665,bedroom
bedroom__143.png,2.375,3.0416666666666665,4.333333333333333,4.083333333333333,bedroom
bedroom__144.png,2.375,2.2083333333333335,4.5,4.458333333333333,bedroom
bedroom__145.png,2.5,2.7083333333333335,4.5,4.625,bedroom
bedroom__146.png,2.9583333333333335,3.5416666666666665,4.125,4.041666666666667,bedroom
bedroom__147.png,2.5,3.1666666666666665,3.5,3.4166666666666665,bedroom
bedroom__148.png,3.4761904761904763,3.0952380952380953,4.125,4.166666666666667,bedroom
bedroom__149.png,1.7916666666666667,2.2916666666666665,5.565217391304348,5.608695652173913,bedroom
bedroom__15.png,1.7083333333333333,2.8333333333333335,5.458333333333333,5.541666666666667,bedroom
bedroom__150.png,3.125,3.375,3.782608695652174,3.782608695652174,bedroom
bedroom__151.png,1.9583333333333333,4.416666666666667,5.5,5.458333333333333,bedroom
bedroom__152.png,2.0434782608695654,2.5217391304347827,5.208333333333333,5.125,bedroom
bedroom__153.png,3.2083333333333335,3.2083333333333335,3.739130434782609,3.869565217391304,bedroom
bedroom__154.png,2.0952380952380953,2.7142857142857144,5.958333333333333,6.0,bedroom
bedroom__155.png,2.5833333333333335,3.0833333333333335,4.478260869565218,4.391304347826087,bedroom
bedroom__156.png,3.75,3.25,3.9583333333333335,3.875,bedroom
bedroom__157.png,2.625,2.7916666666666665,3.875,4.083333333333333,bedroom
bedroom__158.png,2.0,2.7083333333333335,4.3478260869565215,4.391304347826087,bedroom
bedroom__159.png,2.625,2.375,3.8333333333333335,4.041666666666667,bedroom
bedroom__16.png,2.7916666666666665,3.0,4.956521739130435,4.782608695652174,bedroom
bedroom__160.png,2.9565217391304346,3.130434782608696,4.541666666666667,4.375,bedroom
bedroom__161.png,3.8333333333333335,2.875,2.75,2.625,bedroom
bedroom__162.png,3.0434782608695654,3.0,3.7916666666666665,3.7083333333333335,bedroom
bedroom__163.png,2.4166666666666665,3.2916666666666665,4.956521739130435,4.782608695652174,bedroom
bedroom__164.png,4.0,3.375,3.4583333333333335,3.375,bedroom
bedroom__165.png,3.7916666666666665,3.625,3.6666666666666665,3.4166666666666665,bedroom
bedroom__166.png,4.3478260869565215,3.5652173913043477,2.6842105263157894,2.6315789473684212,bedroom
bedroom__167.png,2.130434782608696,2.739130434782609,4.625,4.333333333333333,bedroom
bedroom__168.png,2.3333333333333335,3.4583333333333335,5.333333333333333,5.333333333333333,bedroom
bedroom__169.png,3.0,3.9583333333333335,4.0,3.875,bedroom
bedroom__17.png,2.4166666666666665,2.2083333333333335,4.375,4.416666666666667,bedroom
bedroom__170.png,3.0476190476190474,3.0,3.9166666666666665,4.041666666666667,bedroom
bedroom__171.png,2.625,3.3333333333333335,4.85,4.8,bedroom
bedroom__172.png,3.0,3.0416666666666665,3.8333333333333335,3.5416666666666665,bedroom
bedroom__173.png,2.857142857142857,2.9523809523809526,5.043478260869565,4.826086956521739,bedroom
